Japanese,English,
あう,to meet,
あお,blue,
あお,green,
あお,green light,
あお~,immature,
あおい,blue,
あおい,pale,
あおい,unripe,
あか,red,
あか,"Red-containing color (e.g. brown, pink, orange)",
あか,red light,
あかい,red,
あかるい,bright,
あかるい,cheerful,
あかるい,familiar (with),
あき,autumn,
あく,to open (e.g. doors),
あく,"to open (e.g. business, etc...)",
あく,to be empty,
あく,"to be vacant, to be available",
あける,"to open (a door, etc...)",
あける,"to open (for business, etc...)",
あける,to empty,
あげる,to give,
あげる,to raise,
あげる,"to fly (a kite, etc...)",
あさ,morning,
あさごはん,breakfast,
"あさって, みょうごにち",day after tomorrow,
あし,foot,
あし,leg,
あし,gait,
あし,pace,
"あした, あす, みょうにち",tomorrow,
あそこ,over there,
あそぶ,to play,
あそぶ,to be idle,
あたたかい,warm (usu. Air temperature),
あたま,head,
あたま,mind,
あたま,top,
あたらしい,new,
"あちら, あっち",over there,
"あちら, あっち",that one,
"あちら, あっち",that person,
あつい,"hot (weather, etc...)",
あつい,hot (thing),
あつい,kind,
あつい,thick,
あつい,abundant,
あと,behind,
あと,after,
あと,descendant,
あなた,you (referring to someone of equal or lower status),
あなた,dear (what a wife calls a husband),
あに,older brother,
あね,older sister,
あの,"that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)",
"あの, あのう, あのー",um...,
アパート,apartment,
アパート,apartment house,
あびる,to bathe,
あぶない,dangerous,
あぶない,in danger,
あぶない,uncertain,
あまい,sweet,
"あまり, あんまり",remainder,
"あまり, あんまり",not very (with negative sentence),
あめ,rain,
あめ,(hard) candy,
あらう,to wash,
あらう,to investigate,
ある,to be (usually for inanimate objects),
ある,to have,
ある,to be located,
あるく,to walk,
あれ,that,
いい/よい,good,
いいえ,no,
いう,to say,
いう,to call (i.e. to give a name),
いえ,house,
いえ,Family,
いえ,lineage,
いく,to go,
いく,to proceed,
いく,to continue,
いくつ,how many?,
いくつ,how old?,
いくら,how much?,
いけ,pond,
いしゃ,(medical) doctor,
いす,chair,
いす,post,
いそがしい,busy,
いたい,painful,
いち,one,
～いち,best in,
いちにち,(the) first (of the month),
いちにち,one day,
いちばん,best,
いつ,when,
いつか,five days,
いつか,fifth day,
いっしょ,together,
いつつ,five,
いつも,always,
いつも,never (with neg. verb),
いぬ,dog,
いま,now,
いみ,meaning,
いもうと,younger sister,
いや,unpleasant,
いりぐち,entrance,
いる,to be (of animate objects),
いる,to stay,
いる,(after the -te form of a verb indicating) continuing action or state,
いる,to need,
いれる,to put in,
いれる,to admit,
いろ,color,
